HS Code (HS 2012),Unnamed: 0,Product-
,Product Description,
Chapter Heading Subheading,,Specific Rule
85.08,Vacuum cleaners,
,- With self-contained electric motor,
,"-- Of a power not exceeding 1,500 W and",
,,CTSH or
8508.11,having a dust bag or other receptacle,
,,RVC40
,capacity not exceeding 20 l,
,,CTSH or
8508.19,-- Other,
,,RVC40
,,CTSH or
8508.60,- Other vacuum cleaners,
,,RVC40
,,CTH or
8508.70,- Parts,
,,RVC40
,"Electro-mechanical domestic appliances,",
85.09,"with self-contained electric motor, other than",
,vacuum cleaners of heading 85.08,
,- Food grinders and mixers; fruit or vegetable,CTSH or
8509.40,,
,juice extractors,RVC40
,,CTSH or
8509.80,- Other appliances,
,,RVC40
,,CTH or
8509.90,- Parts,
,,RVC40
,"Shavers, hair clippers and hair-removing",
85.10,,
,"appliances, with self-contained electric motor",
,,CTSH or
8510.10,- Shavers,
,,RVC40
,,CTSH or
8510.20,- Hair clippers,
,,RVC40
,,CTSH or
8510.30,- Hair-removing appliances,
,,RVC40
,,CTH or
8510.90,- Parts,
,,RVC40
,Electrical ignition or starting equipment of a,
,kind used for spark-ignition or compression-,
,ignition internal combustion engines (for,
,"example, ignition magnetos, magneto-",
85.11,"dynamos, ignition coils, sparking plugs and",
,"glow plugs, starter motors); generators (for",
,"example, dynamos, alternators) and cut-outs",
,of a kind used in conjunction with such,
,engines,
,,CTSH or
8511.10,- Sparking plugs,
,,RVC40
,- Ignition magnetos; magneto-dynamos;,CTSH or
8511.20,,
,magnetic flywheels,RVC40
,,CTSH or
8511.30,- Distributors; ignition coils,
,,RVC40
